Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,408751,210670,198081
020000,Áncash,1116151,558548,557603
030000,Apurímac,421546,215163,206383
040000,Arequipa,1327106,647809,679297
050000,Ayacucho,644322,326849,317473
060000,"Cajamarca ",1413007,706511,706496
070000,"Prov. Const. del Callao ",1003208,486306,516902
080000,Cusco,1264393,637567,626826
090000,Huancavelica,393473,196803,196670
100000,"Huánuco ",752150,380097,372053
110000,Ica,847268,422528,424740
120000,Junín,1293785,642375,651410
130000,"La Libertad",1821292,901299,919993
140000,Lambayeque,1208672,586910,621762
150000,Lima,9514151,4564417,4949734
160000,Loreto,958509,495870,462639
170000,"Madre de Dios",143639,81711,61928
180000,Moquegua,176719,93231,83488
190000,Pasco,271027,139280,131747
200000,"Piura ",1863545,928370,935175
210000,Puno,1233379,609716,623663
220000,"San Martín",817542,433923,383619
230000,Tacna,330422,165533,164889
240000,Tumbes,226099,121788,104311
250000,Ucayali,514343,268486,245857
