Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,426806,219801,207005
020000,Áncash,1180638,594832,585806
030000,Apurímac,430736,220370,210366
040000,Arequipa,1497438,735707,761731
050000,Ayacucho,668213,341951,326262
060000,"Cajamarca ",1453711,727265,726446
070000,"Prov. Const. del Callao ",1129854,550046,579808
080000,Cusco,1357075,686543,670532
090000,Huancavelica,365317,184121,181196
100000,"Huánuco ",760267,384345,375922
110000,Ica,975182,488836,486346
120000,Junín,1361467,678494,682973
130000,"La Libertad",2016771,1000002,1016769
140000,Lambayeque,1310785,638228,672557
150000,Lima,10628470,5119560,5508910
160000,Loreto,1027559,531000,496559
170000,"Madre de Dios",173811,98215,75596
180000,Moquegua,192740,102855,89885
190000,Pasco,271904,140252,131652
200000,"Piura ",2047954,1030975,1016979
210000,Puno,1237997,611616,626381
220000,"San Martín",899648,474458,425190
230000,Tacna,370974,188152,182822
240000,Tumbes,251521,135675,115846
250000,Ucayali,589110,307596,281514
