Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,407069,210011,197058
020000,Áncash,1102118,551304,550814
030000,Apurímac,425396,216952,208444
040000,Arequipa,1259686,615790,643896
050000,Ayacucho,645093,326256,318837
060000,"Cajamarca ",1419957,711005,708952
070000,"Prov. Const. del Callao ",954212,465402,488810
080000,Cusco,1237327,623736,613591
090000,Huancavelica,422373,210690,211683
100000,"Huánuco ",764721,386561,378160
110000,Ica,794286,396385,397901
120000,Junín,1282363,637851,644512
130000,"La Libertad",1749812,867641,882171
140000,Lambayeque,1175747,571850,603897
150000,Lima,9092487,4385284,4707203
160000,Loreto,939560,487217,452343
170000,"Madre de Dios",130783,74812,55971
180000,Moquegua,171378,90525,80853
190000,Pasco,276967,142314,134653
200000,"Piura ",1798032,896335,901697
210000,Puno,1259842,625338,634504
220000,"San Martín",788660,421257,367403
230000,Tacna,314774,158498,156276
240000,Tumbes,216587,117074,99513
250000,Ucayali,483932,253459,230473
