Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,407893,210891,197002
020000,Áncash,1096137,547211,548926
030000,Apurímac,435116,221222,213894
040000,Arequipa,1180230,579621,600609
050000,Ayacucho,645205,323868,321337
060000,"Cajamarca ",1443350,722342,721008
070000,"Prov. Const. del Callao ",889187,438566,450621
080000,Cusco,1214667,612686,601981
090000,Huancavelica,463275,229763,233512
100000,"Huánuco ",785488,396688,388800
110000,Ica,732317,364745,367572
120000,Junín,1275898,636345,639553
130000,"La Libertad",1660271,823656,836615
140000,Lambayeque,1140361,555098,585263
150000,Lima,8552942,4154008,4398934
160000,Loreto,916737,475286,441451
170000,"Madre de Dios",113704,65015,48689
180000,Moquegua,164788,87028,77760
190000,Pasco,285447,145910,139537
200000,"Piura ",1723309,860152,863157
210000,Puno,1299393,644004,655389
220000,"San Martín",750912,403623,347289
230000,Tacna,294980,149351,145629
240000,Tumbes,204740,110483,94257
250000,Ucayali,445811,234597,211214
