Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,406170,210189,195981
020000,Áncash,1094009,544625,549384
030000,Apurímac,438038,222113,215925
040000,Arequipa,1143422,563204,580218
050000,Ayacucho,635046,316909,318137
060000,"Cajamarca ",1448641,723891,724750
070000,"Prov. Const. del Callao ",850882,421866,429016
080000,Cusco,1205200,608349,596851
090000,Huancavelica,471337,232728,238609
100000,"Huánuco ",786368,396664,389704
110000,Ica,706051,350502,355549
120000,Junín,1266148,631923,634225
130000,"La Libertad",1608330,796590,811740
140000,Lambayeque,1120855,545282,575573
150000,Lima,8243698,4011441,4232257
160000,Loreto,898157,464983,433174
170000,"Madre de Dios",104701,59638,45063
180000,Moquegua,160556,84703,75853
190000,Pasco,284932,144836,140096
200000,"Piura ",1684704,840892,843812
210000,Puno,1299517,643008,656509
220000,"San Martín",726531,391115,335416
230000,Tacna,284110,144225,139885
240000,Tumbes,198130,106716,91414
250000,Ucayali,426558,224996,201562
