Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,430123,221394,208729
020000,Áncash,1202171,606821,595350
030000,Apurímac,426626,218675,207951
040000,Arequipa,1605569,790105,815464
050000,Ayacucho,669737,344337,325400
060000,"Cajamarca ",1447707,723870,723837
070000,"Prov. Const. del Callao ",1209614,586666,622948
080000,Cusco,1398036,708265,689771
090000,Huancavelica,335142,169645,165497
100000,"Huánuco ",746509,377396,369113
110000,Ica,1062346,532861,529485
120000,Junín,1380561,688070,692491
130000,"La Libertad",2130145,1056410,1073735
140000,Lambayeque,1361554,662273,699281
150000,Lima,11304993,5433564,5871429
160000,Loreto,1057592,545464,512128
170000,"Madre de Dios",197096,110753,86343
180000,Moquegua,201129,107267,93862
190000,Pasco,265392,137333,128059
200000,"Piura ",2149978,1083168,1066810
210000,Puno,1208802,597967,610835
220000,"San Martín",945523,495714,449809
230000,Tacna,396180,201550,194630
240000,Tumbes,266653,143576,123077
250000,Ucayali,639279,332494,306785
