Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,415469,214046,201423
020000,Áncash,1140486,572181,568305
030000,Apurímac,424717,216975,207742
040000,Arequipa,1392144,681103,711041
050000,Ayacucho,653101,332448,320653
060000,"Cajamarca ",1427598,713869,713729
070000,"Prov. Const. del Callao ",1051572,510393,541179
080000,Cusco,1299643,656124,643519
090000,Huancavelica,381277,191261,190016
100000,"Huánuco ",754476,381315,373161
110000,Ica,896000,447717,448283
120000,Junín,1319212,655782,663430
130000,"La Libertad",1895988,938792,957196
140000,Lambayeque,1247616,606397,641219
150000,Lima,9939885,4774168,5165717
160000,Loreto,984759,509171,475588
170000,"Madre de Dios",155027,87945,67082
180000,Moquegua,182836,96883,85953
190000,Pasco,271036,139463,131573
200000,"Piura ",1933993,967304,966689
210000,Puno,1233676,609399,624277
220000,"San Martín",848910,449314,399596
230000,Tacna,345911,174007,171904
240000,Tumbes,235813,127066,108747
250000,Ucayali,542847,283372,259475
