Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,406961,209878,197083
020000,Áncash,1104932,552637,552295
030000,Apurímac,423432,216002,207430
040000,Arequipa,1279463,624873,654590
050000,Ayacucho,643788,325871,317917
060000,"Cajamarca ",1415353,708291,707062
070000,"Prov. Const. del Callao ",968519,471087,497432
080000,Cusco,1244174,627163,617011
090000,Huancavelica,411961,205657,206304
100000,"Huánuco ",759313,383782,375531
110000,Ica,810074,404046,406028
120000,Junín,1284027,638109,645918
130000,"La Libertad",1770194,876968,893226
140000,Lambayeque,1184583,575699,608884
150000,Lima,9214448,4433633,4780815
160000,Loreto,944233,489209,455024
170000,"Madre de Dios",134665,76885,57780
180000,Moquegua,172841,91203,81638
190000,Pasco,274546,141061,133485
200000,"Piura ",1816435,904802,911633
210000,Puno,1249014,619010,630004
220000,"San Martín",796778,424633,372145
230000,Tacna,319332,160361,158971
240000,Tumbes,219323,118380,100943
250000,Ucayali,492957,257826,235131
