Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,403104,208639,194465
020000,Áncash,1091841,542223,549618
030000,Apurímac,437596,221486,216110
040000,Arequipa,1122681,554259,568422
050000,Ayacucho,621300,308787,312513
060000,"Cajamarca ",1444820,721326,723494
070000,"Prov. Const. del Callao ",823957,409878,414079
080000,Cusco,1199439,605898,593541
090000,Huancavelica,465402,228977,236425
100000,"Huánuco ",778807,392529,386278
110000,Ica,693012,343217,349795
120000,Junín,1254287,626231,628056
130000,"La Libertad",1571700,777396,794304
140000,Lambayeque,1107005,538420,568585
150000,Lima,8029401,3911511,4117890
160000,Loreto,881489,456217,425272
170000,"Madre de Dios",99005,56330,42675
180000,Moquegua,157298,83061,74237
190000,Pasco,280783,142098,138685
200000,"Piura ",1659573,828730,830843
210000,Puno,1283400,636234,647166
220000,"San Martín",707958,381542,326416
230000,Tacna,276853,141252,135601
240000,Tumbes,193623,104530,89093
250000,Ucayali,414751,219298,195453
