Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,407420,210353,197067
020000,Áncash,1098254,549313,548941
030000,Apurímac,429378,218809,210569
040000,Arequipa,1224189,599650,624539
050000,Ayacucho,646633,326329,320304
060000,"Cajamarca ",1429490,716227,713263
070000,"Prov. Const. del Callao ",927153,454605,472548
080000,Cusco,1226106,618199,607907
090000,Huancavelica,441097,219624,221473
100000,"Huánuco ",774475,391485,382990
110000,Ica,766179,382540,383639
120000,Junín,1279658,637504,642154
130000,"La Libertad",1711902,849885,862017
140000,Lambayeque,1160034,564858,595176
150000,Lima,8864719,4293214,4571505
160000,Loreto,930554,483066,447488
170000,"Madre de Dios",123528,70834,52694
180000,Moquegua,168636,89208,79428
190000,Pasco,281169,144364,136805
200000,"Piura ",1764979,881031,883948
210000,Puno,1278940,635899,643041
220000,"San Martín",773197,414555,358642
230000,Tacna,306325,154949,151376
240000,Tumbes,211526,114536,96990
250000,Ucayali,467374,245415,221959
