Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,404836,209527,195309
020000,Áncash,1093193,543569,549624
030000,Apurímac,438056,221925,216131
040000,Arequipa,1132996,558712,574284
050000,Ayacucho,628713,313112,315601
060000,"Cajamarca ",1447482,722978,724504
070000,"Prov. Const. del Callao ",837609,416003,421606
080000,Cusco,1202522,607228,595294
090000,Huancavelica,469156,231241,237915
100000,"Huánuco ",783246,394931,388315
110000,Ica,699359,346767,352592
120000,Junín,1260794,629384,631410
130000,"La Libertad",1590385,787187,803198
140000,Lambayeque,1114186,541967,572219
150000,Lima,8138220,3962432,4175788
160000,Loreto,890242,460807,429435
170000,"Madre de Dios",101832,57967,43865
180000,Moquegua,158981,83908,75073
190000,Pasco,283147,143611,139536
200000,"Piura ",1672392,834927,837465
210000,Puno,1292710,640161,652549
220000,"San Martín",717495,386484,331011
230000,Tacna,280522,142746,137776
240000,Tumbes,195913,105630,90283
250000,Ucayali,420645,222147,198498
