Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,411525,212051,199474
020000,Áncash,1126698,564428,562270
030000,Apurímac,422534,215759,206775
040000,Arequipa,1357444,663179,694265
050000,Ayacucho,647794,329139,318655
060000,"Cajamarca ",1418297,709127,709170
070000,"Prov. Const. del Callao ",1025749,497304,528445
080000,Cusco,1280145,645833,634312
090000,Huancavelica,386752,193703,193049
100000,"Huánuco ",752248,380159,372089
110000,Ica,870166,434293,435873
120000,Junín,1304632,648002,656630
130000,"La Libertad",1855780,918487,937293
140000,Lambayeque,1226321,595656,630665
150000,Lima,9711755,4659991,5051764
160000,Loreto,970219,501753,468466
170000,"Madre de Dios",149044,84663,64381
180000,Moquegua,179508,94866,84642
190000,Pasco,270648,139163,131485
200000,"Piura ",1895889,945979,949910
210000,Puno,1231778,608611,623167
220000,"San Martín",831960,440909,391051
230000,Tacna,337630,169384,168246
240000,Tumbes,230598,124208,106390
250000,Ucayali,527717,275414,252303
