Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,430251,221434,208817
020000,Áncash,1205639,608820,596819
030000,Apurímac,424906,217893,207013
040000,Arequipa,1631136,802953,828183
050000,Ayacucho,669020,344337,324683
060000,"Cajamarca ",1443839,721832,722007
070000,"Prov. Const. del Callao ",1228411,595143,633268
080000,Cusco,1406165,712621,693544
090000,Huancavelica,327440,165914,161526
100000,"Huánuco ",741887,375064,366823
110000,Ica,1083566,543554,540012
120000,Junín,1383107,689349,693758
130000,"La Libertad",2155943,1069244,1086699
140000,Lambayeque,1372301,667312,704989
150000,Lima,11461995,5505595,5956400
160000,Loreto,1063495,548249,515246
170000,"Madre de Dios",203069,113959,89110
180000,Moquegua,202946,108197,94749
190000,Pasco,263354,136390,126964
200000,"Piura ",2172710,1094652,1078058
210000,Puno,1199636,593663,605973
220000,"San Martín",955789,500383,455406
230000,Tacna,402089,204678,197411
240000,Tumbes,270134,145385,124749
250000,Ucayali,651416,338475,312941
