Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,407817,210939,196878
020000,Áncash,1095903,546631,549272
030000,Apurímac,436693,221824,214869
040000,Arequipa,1167582,573946,593636
050000,Ayacucho,643368,322305,321063
060000,"Cajamarca ",1447000,723752,723248
070000,"Prov. Const. del Callao ",876935,433294,443641
080000,Cusco,1211765,611346,600419
090000,Huancavelica,468379,231964,236415
100000,"Huánuco ",787626,397606,390020
110000,Ica,722929,359658,363271
120000,Junín,1274077,635599,638478
130000,"La Libertad",1643824,815055,828769
140000,Lambayeque,1134361,552026,582335
150000,Lima,8453896,4108441,4345455
160000,Loreto,911642,472326,439316
170000,"Madre de Dios",110677,63176,47501
180000,Moquegua,163510,86291,77219
190000,Pasco,286112,145980,140132
200000,"Piura ",1710832,853831,857001
210000,Puno,1303022,644978,658044
220000,"San Martín",743447,399791,343656
230000,Tacna,291443,147582,143861
240000,Tumbes,202615,109180,93435
250000,Ucayali,439329,231329,208000
