Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,407217,210689,196528
020000,Áncash,1095029,545701,549328
030000,Apurímac,437646,222109,215537
040000,Arequipa,1155066,568339,586727
050000,Ayacucho,640040,320021,320019
060000,"Cajamarca ",1448678,724231,724447
070000,"Prov. Const. del Callao ",864095,427680,436415
080000,Cusco,1208403,609785,598618
090000,Huancavelica,471227,233041,238186
100000,"Huánuco ",787966,397622,390344
110000,Ica,713976,354822,359154
120000,Junín,1270740,634074,636666
130000,"La Libertad",1626333,805955,820378
140000,Lambayeque,1127705,548683,579022
150000,Lima,8349906,4060483,4289423
160000,Loreto,905410,468866,436544
170000,"Madre de Dios",107663,61375,46288
180000,Moquegua,162089,85506,76583
190000,Pasco,285977,145650,140327
200000,"Piura ",1697698,847267,850431
210000,Puno,1303201,644670,658531
220000,"San Martín",735273,395587,339686
230000,Tacna,287783,145840,141943
240000,Tumbes,200387,107899,92488
250000,Ucayali,432834,228077,204757
