Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,400866,207460,193406
020000,Áncash,1089213,540283,548930
030000,Apurímac,436560,220742,215818
040000,Arequipa,1111366,549241,562125
050000,Ayacucho,613067,304090,308977
060000,"Cajamarca ",1440277,718770,721507
070000,"Prov. Const. del Callao ",809602,403274,406328
080000,Cusco,1195020,603836,591184
090000,Huancavelica,460802,226338,234464
100000,"Huánuco ",773262,389564,383698
110000,Ica,686121,339455,346666
120000,Junín,1246239,622242,623997
130000,"La Libertad",1551472,766865,784607
140000,Lambayeque,1098616,534319,564297
150000,Lima,7913147,3856707,4056440
160000,Loreto,871720,451093,420627
170000,"Madre de Dios",96155,54684,41471
180000,Moquegua,155447,82107,73340
190000,Pasco,278008,140424,137584
200000,"Piura ",1645049,821657,823392
210000,Puno,1272213,631337,640876
220000,"San Martín",697710,376137,321573
230000,Tacna,272935,139588,133347
240000,Tumbes,191149,103301,87848
250000,Ucayali,408531,216216,192315
