Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,407451,210460,196991
020000,Áncash,1096786,548305,548481
030000,Apurímac,431180,219583,211597
040000,Arequipa,1208011,592214,615797
050000,Ayacucho,646351,325670,320681
060000,"Cajamarca ",1433705,718211,715494
070000,"Prov. Const. del Callao ",913819,448991,464828
080000,Cusco,1221287,615829,605458
090000,Huancavelica,448966,223272,225694
100000,"Huánuco ",778293,393330,384963
110000,Ica,753634,376084,377550
120000,Junín,1277951,636941,641010
130000,"La Libertad",1693454,840729,852725
140000,Lambayeque,1152637,561297,591340
150000,Lima,8753931,4244711,4509220
160000,Loreto,925658,480465,445193
170000,"Madre de Dios",120061,68835,51226
180000,Moquegua,167263,88460,78803
190000,Pasco,282725,144996,137729
200000,"Piura ",1749565,873417,876148
210000,Puno,1286238,639213,647025
220000,"San Martín",765374,410840,354534
230000,Tacna,302271,153019,149252
240000,Tumbes,209092,113160,95932
250000,Ucayali,459616,241549,218067
