Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,423863,218313,205550
020000,Áncash,1169522,588568,580954
030000,Apurímac,429587,219678,209909
040000,Arequipa,1464638,718816,745822
050000,Ayacucho,664494,339510,324984
060000,"Cajamarca ",1447891,724299,723592
070000,"Prov. Const. del Callao ",1105512,537980,567532
080000,Cusco,1340457,677738,662719
090000,Huancavelica,371260,186847,184413
100000,"Huánuco ",759851,384108,375743
110000,Ica,950100,475898,474202
120000,Junín,1350021,672386,677635
130000,"La Libertad",1979901,981392,998509
140000,Lambayeque,1292105,628919,663186
150000,Lima,10416139,5014821,5401318
160000,Loreto,1015212,524761,490451
170000,"Madre de Dios",167674,94873,72801
180000,Moquegua,189781,101115,88666
190000,Pasco,272157,140270,131887
200000,"Piura ",2013517,1012062,1001455
210000,Puno,1239022,612053,626969
220000,"San Martín",884283,466947,417336
230000,Tacna,363205,183826,179379
240000,Tumbes,246699,133059,113640
250000,Ucayali,574509,300045,274464
