Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,407347,210234,197113
020000,Áncash,1100147,550367,549780
030000,Apurímac,427511,217961,209550
040000,Arequipa,1241530,607566,633964
050000,Ayacucho,646321,326571,319750
060000,"Cajamarca ",1425105,713907,711198
070000,"Prov. Const. del Callao ",940723,460126,480597
080000,Cusco,1231575,620897,610678
090000,Huancavelica,432381,215502,216879
100000,"Huánuco ",770088,389294,380794
110000,Ica,779799,389330,390469
120000,Junín,1281293,637886,643407
130000,"La Libertad",1730877,858931,871946
140000,Lambayeque,1167862,568424,599438
150000,Lima,8978550,4340444,4638106
160000,Loreto,935307,485359,449948
170000,"Madre de Dios",127117,72829,54288
180000,Moquegua,170028,89902,80126
190000,Pasco,279306,143494,135812
200000,"Piura ",1781317,888746,892571
210000,Puno,1270389,631331,639058
220000,"San Martín",781052,418065,362987
230000,Tacna,310525,156778,153747
240000,Tumbes,214047,115840,98207
250000,Ucayali,475528,249405,226123
