Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,429943,221328,208615
020000,Áncash,1198547,604794,593753
030000,Apurímac,428311,219437,208874
040000,Arequipa,1580075,777350,802725
050000,Ayacucho,670377,344301,326076
060000,"Cajamarca ",1451436,725863,725573
070000,"Prov. Const. del Callao ",1190860,578273,612587
080000,Cusco,1389737,703844,685893
090000,Huancavelica,343026,173465,169561
100000,"Huánuco ",751097,379718,371379
110000,Ica,1041312,522295,519017
120000,Junín,1377838,686770,691068
130000,"La Libertad",2104254,1043572,1060682
140000,Lambayeque,1350663,657221,693442
150000,Lima,11147924,5362072,5785852
160000,Loreto,1051560,542635,508925
170000,"Madre de Dios",191259,107620,83639
180000,Moquegua,199286,106341,92945
190000,Pasco,267425,138272,129153
200000,"Piura ",2127093,1071756,1055337
210000,Puno,1217951,602244,615707
220000,"San Martín",935194,491032,444162
230000,Tacna,390279,198450,191829
240000,Tumbes,263164,141776,121388
250000,Ucayali,627233,326589,300644
