Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,428512,220649,207863
020000,Áncash,1188391,599168,589223
030000,Apurímac,430609,220408,210201
040000,Arequipa,1526669,750544,776125
050000,Ayacucho,669979,343311,326668
060000,"Cajamarca ",1455245,727990,727255
070000,"Prov. Const. del Callao ",1151480,560319,591161
080000,Cusco,1369932,693349,676583
090000,Huancavelica,358356,180835,177521
100000,"Huánuco ",758416,383420,374996
110000,Ica,998144,500536,497608
120000,Junín,1369003,682406,686597
130000,"La Libertad",2048492,1015871,1032621
140000,Lambayeque,1325912,645573,680339
150000,Lima,10814450,5208201,5606249
160000,Loreto,1037055,535690,501365
170000,"Madre de Dios",179688,101395,78293
180000,Moquegua,195185,104214,90971
190000,Pasco,270842,139813,131029
200000,"Piura ",2077039,1046358,1030681
210000,Puno,1233277,609398,623879
220000,"San Martín",912674,480648,432026
230000,Tacna,377842,191867,185975
240000,Tumbes,255712,137901,117811
250000,Ucayali,602400,314313,288087
