Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,419833,216264,203569
020000,Áncash,1155451,580623,574828
030000,Apurímac,427323,218413,208910
040000,Arequipa,1428708,700132,728576
050000,Ayacucho,659061,336123,322938
060000,"Cajamarca ",1438325,719380,718945
070000,"Prov. Const. del Callao ",1078789,524357,554432
080000,Cusco,1320530,667179,653351
090000,Huancavelica,376346,189101,187245
100000,"Huánuco ",757467,382865,374602
110000,Ica,923175,461888,461287
120000,Junín,1335139,664362,670777
130000,"La Libertad",1938501,960375,978126
140000,Lambayeque,1270295,617896,652399
150000,Lima,10180641,4896065,5284576
160000,Loreto,1000350,517162,483188
170000,"Madre de Dios",161324,91398,69926
180000,Moquegua,186371,99046,87325
190000,Pasco,271704,139919,131785
200000,"Piura ",1974368,990086,984282
210000,Puno,1236836,610930,625906
220000,"San Martín",866861,458280,408581
230000,Tacna,354644,178967,175677
240000,Tumbes,241321,130103,111218
250000,Ucayali,558767,291777,266990
