Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,407397,210033,197364
020000,Áncash,1109353,554880,554473
030000,Apurímac,422017,215333,206684
040000,Arequipa,1301668,635363,666305
050000,Ayacucho,643251,325906,317345
060000,"Cajamarca ",1412600,706535,706065
070000,"Prov. Const. del Callao ",984551,477837,506714
080000,Cusco,1252924,631623,621301
090000,Huancavelica,402033,200872,201161
100000,"Huánuco ",754809,381461,373348
110000,Ica,827591,412648,414943
120000,Junín,1287449,639380,648069
130000,"La Libertad",1793523,887869,905654
140000,Lambayeque,1195260,580532,614728
150000,Lima,9352360,4491378,4860982
160000,Loreto,950243,491903,458340
170000,"Madre de Dios",138902,79150,59752
180000,Moquegua,174570,92063,82507
190000,Pasco,272435,139971,132464
200000,"Piura ",1837836,915147,922689
210000,Puno,1239621,613438,626183
220000,"San Martín",806153,428688,377465
230000,Tacna,324461,162622,161839
240000,Tumbes,222435,119903,102532
250000,Ucayali,502972,262753,240219
